Rank,HubUrl,DestinationUrl,DestinationKind,OpportunityType,MonetizationStatus,PriorityScore,PriorityBand,TaskType,RecommendedAction,SuggestedCTA,Retailers,EstimatedEffort,ExpectedImpact,AcceptanceCriteria,Notes
1,https://example-affiliate-site.test/pc-accesorios,https://example-affiliate-site.test/akko-5098b-mechanical-keyboard,DEAL_POST,DESTINATION_AFFILIATE_GAP,GAP_PROBABLE,100,HIGH,Destination monetization fix,"Revisar el post destino, localizar retailer/programa afiliado válido y añadir CTA/enlace monetizado si procede.",Añadir CTA afiliado si existe oferta real,,M,High,El post contiene al menos un CTA comercial verificable o queda documentado como no monetizable.,"Original cloaking corregido: probable falso positivo por /oferta, /amazon, /aliexpress o navegación interna."
2,https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/auriculares-cmf-buds-2a,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,94,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en Amazon,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",Amazon corto no verificable sin resolver redirección; revisar manualmente si es prioritario.
3,https://example-affiliate-site.test/ofertas-en-smartphone,https://example-affiliate-site.test/auriculares-cmf-buds-2a,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,94,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en Amazon,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",Amazon corto no verificable sin resolver redirección; revisar manualmente si es prioritario.
4,https://example-affiliate-site.test/pc-accesorios,https://example-affiliate-site.test/auriculares-cmf-buds-2a,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,94,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en Amazon,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",Amazon corto no verificable sin resolver redirección; revisar manualmente si es prioritario.
5,https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/baliza-emergencia-v16,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,93,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en Amazon,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
6,https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/dji-neo,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,93,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en Amazon,"Amazon, Awin/Redirect, MediaMarkt, TradeDoubler/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
7,https://example-affiliate-site.test/ofertas-en-smartphone,https://example-affiliate-site.test/baliza-emergencia-v16,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,93,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en Amazon,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
8,https://example-affiliate-site.test/pc-accesorios,https://example-affiliate-site.test/baliza-emergencia-v16,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,93,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en Amazon,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
9,https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/dji-neo-2,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,91,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en AliExpress,"AliExpress, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
10,https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/dron-plegable-con-doble-camara,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,91,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en AliExpress,"AliExpress, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
11,https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/drone-q12-4k,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,91,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en AliExpress,"AliExpress, TradeTracker/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
12,https://example-affiliate-site.test/ofertas-en-smartphone,https://example-affiliate-site.test/app-mediamarkt,DEAL_POST,HUB_CTA_FRICTION,MONETIZED_EXTERNAL,91,HIGH,Hub card CTA insertion,Añadir CTA visible en la card/listado del hub apuntando al destino o al enlace comercial autorizado.,Ver oferta en MediaMarkt,"MediaMarkt, TradeDoubler/Redirect",S,High,"La card muestra CTA claro, consistente y medible; no rompe diseño móvil ni desktop.",
